filename,timestamp
waypoint_caring-filly-GJpk633zsYkZea9XPyBCBw==.ply,1762941994.244596
waypoint_carnal-nasua-+Dk8Tt9.lWQpllKpHbxz1w==.ply,1762941996.6451817
waypoint_causal-dingo-z0kVId7GdO3HB+kihw6FgA==.ply,1762941998.912381
waypoint_chafed-hyrax-OZcd29lP+X7+KxvIKFSPaQ==.ply,1762942001.3797
waypoint_chic-tomcat-MJFkIX7Z.2ZnpDKi.38Zag==.ply,1762942003.8468525
waypoint_choosy-bird-E9btYc9DCvBfd2.+Stm5UQ==.ply,1762942006.0474205
waypoint_cloggy-impala-HgEP65Kc3bjqHM6bCaYZww==.ply,1762942008.7147343
waypoint_cloven-dingo-qntG5c7ioOtPk0qBSVbHpg==.ply,1762942011.1819751
waypoint_cloven-turtle-8HYbpFmBxKtmEkVXzXQChg==.ply,1762942013.8492432
waypoint_cloven-vervet-M0qWiolzWyE8gnzYupRg7Q==.ply,1762942016.2498221
waypoint_coaxal-liger-HDfsI7MkWV1jkVCJFPAwow==.ply,1762942019.1172109
waypoint_corked-ibex-iY9vdnI4YaBk7HHILqvAxw==.ply,1762942022.1845503
waypoint_corky-taipan-lrMK9+ll.BCuGfaaFhscaQ==.ply,1762942025.0519204
waypoint_crabby-maggot-lrExz.m1hreUxnP3lYk+2g==.ply,1762942027.6525326
waypoint_crafty-pig-lJ7JTfZtuPwq1b+zZVLOLw==.ply,1762942030.6532223
waypoint_craven-dayfly-DYlgXJfjc0T3xHPGT+kKaw==.ply,1762942033.3872316
waypoint_crazed-lynx-reNcGDjOKAhNOfbLBWcx0A==.ply,1762942036.0545447
waypoint_crispy-shrimp-5lE8CpMpOw+5O4AUywY6Rw==.ply,1762942038.4551115
waypoint_cruddy-shark-qcKQDft0m9iWABmTEz0aGg==.ply,1762942045.1234515
waypoint_crummy-burro-uJTHzV8AOIYQiXdRaM+tAg==.ply,1762942049.9912536
waypoint_cuddly-drum-pvjojM9S3n8PtrLzxTkfTg==.ply,1762942052.6585712
waypoint_cuddly-skink-RjvXug36SBFfBH4xv4R2Mw==.ply,1762942054.6590877
waypoint_curly-hybrid-F6FkNE+VpYP13nITeXGNYA==.ply,1762942057.0596545
waypoint_curst-snail-aqOeh3E.Ve39r6J6cJXEcg==.ply,1762942058.5932686
waypoint_curtal-hyla-sF6BHGinzvjPY5Csq0gAwQ==.ply,1762942061.1939125
waypoint_cyan-egg-V7zL7SXFSAF7zuiLLn4rJw==.ply,1762942066.395086
waypoint_cyan-rodent-H4078YhDShuf3RWlNQ0wdw==.ply,1762942069.2624636
waypoint_dashed-mule-OpJtgmF5JBPThliJJFa3ew==.ply,1762942072.0631418
waypoint_dated-gecko-fzA6Gws0+X7pfgw.UXJoIw==.ply,1762942074.7305286
waypoint_dated-jaguar-aUp.GlvHKtMHpA0kjICfXw==.ply,1762942076.9309847
waypoint_demure-larva-dq3Xnjpq3kkAoc7y3NFO+g==.ply,1762942079.7316065
waypoint_dewy-beagle-8+1alhkh4G1fHIDPYAFIfQ==.ply,1762942080.1983833
waypoint_dicey-bee-yHDQ1QmKcft1voToPHEsHg==.ply,1762942083.065723
waypoint_dilute-shrew-82qyroHB1LvMKeySi8yQXw==.ply,1762942086.466498
waypoint_dipped-weevil-AhsXc.M92OyML82+b+Hn2g==.ply,1762942089.3338647
waypoint_dirty-hyrax-l0I63UWW+MzoKVlmQlanGw==.ply,1762942090.734225
waypoint_dopey-ewe-.2wypXp6sHBGWfq7vyKnBg==.ply,1762942093.201474
waypoint_dovish-dayfly-wVU75lPxq2sJbxDjWXUbOw==.ply,1762942097.6025305
waypoint_dovish-fleece-pOiZnKaL6QLi8jZs.fPlbg==.ply,1762942100.6698935
waypoint_dovish-frog-0.mQVLEunBDImYOt0rxKOQ==.ply,1762942102.6703532
waypoint_dozen-mite-Hu602WnQVKH7E3g124ZsCw==.ply,1762942108.1382968
waypoint_dozen-puma-Wv08O+RwCV35bj.Us78tSg==.ply,1762942112.405965
waypoint_drafty-gull-lSsTSoW1Qwj9ERd8hTOPRw==.ply,1762942115.2066517
waypoint_dud-howler-z7R3oUCt+F0EwCwAC7iEsg==.ply,1762942118.2073624
waypoint_dud-kelpie-ToY+7NYLM4m73iArsdRvNw==.ply,1762942122.8084736
