Frame 30: C:\Users\eugen\PycharmProjects\ICP_tesi_EsternoSantaMarta\pointcloud\waypoint_aweary-cocoon-6GsPRaOO8KX3V79hIJUjaQ==.ply, Fitness=0.3877, RMSE=0.0620
Frame 31: C:\Users\eugen\PycharmProjects\ICP_tesi_EsternoSantaMarta\pointcloud\waypoint_awheel-manx-bb7DP0XnXBBCYOWjBm15cA==.ply, Fitness=0.0324, RMSE=0.0720
Frame 32: C:\Users\eugen\PycharmProjects\ICP_tesi_EsternoSantaMarta\pointcloud\waypoint_awned-koodoo-Dh84.x4eNEeCoBSQr5B+4A==.ply, Fitness=0.0228, RMSE=0.0746
Frame 33: C:\Users\eugen\PycharmProjects\ICP_tesi_EsternoSantaMarta\pointcloud\waypoint_awned-platypus-DSeI2XyaRRfqQ5NcSB81eg==.ply, Fitness=0.0630, RMSE=0.0727
Frame 34: C:\Users\eugen\PycharmProjects\ICP_tesi_EsternoSantaMarta\pointcloud\waypoint_bantam-foal-mZlvOZVnskpEItdCIQNpEQ==.ply, Fitness=0.0243, RMSE=0.0699
Frame 35: C:\Users\eugen\PycharmProjects\ICP_tesi_EsternoSantaMarta\pointcloud\waypoint_bantam-thrush-gNLE8pSecHdlx8d99Io2Bw==.ply, Fitness=0.2061, RMSE=0.0702
Frame 36: C:\Users\eugen\PycharmProjects\ICP_tesi_EsternoSantaMarta\pointcloud\waypoint_bats-beetle-KdaTz2A8aTtoCGOSCYvvNA==.ply, Fitness=0.0504, RMSE=0.0693
Frame 37: C:\Users\eugen\PycharmProjects\ICP_tesi_EsternoSantaMarta\pointcloud\waypoint_beaded-corgi-w.02WJV9Z2F7XTm0aUXi3A==.ply, Fitness=0.0426, RMSE=0.0701
Frame 38: C:\Users\eugen\PycharmProjects\ICP_tesi_EsternoSantaMarta\pointcloud\waypoint_bedrid-volvox-ioqB426IwDc63QIyeI.JDQ==.ply, Fitness=0.6553, RMSE=0.0588
Frame 39: C:\Users\eugen\PycharmProjects\ICP_tesi_EsternoSantaMarta\pointcloud\waypoint_biface-kelpie-ILG9ge6MYWnvasTcpvd3+Q==.ply, Fitness=0.7445, RMSE=0.0582
